Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth
ACEL,1.094,-0.054249580353137095,0.11871653597759169,3.391699,0.020769046496414003,0.020676348594520038,881713152,0.14843,0.14843470154771699
ACET,1.63,-0.3879194666848441,-0.9439803463138088,0.6269601,0.058531711084271326,0.06144661416372875,139707056,-0.64392,0.062345932125714563
ACFN,0.142,0.7637036641438801,2.5431547930544407,8.667637,0.04178282850783091,0.054960337483502576,59559284,2.21455,0.9445769866030465
ACGL,0.451,-0.14822260551910538,0.8776482708509163,1.479262,0.016597848726962638,0.015944514331473994,32798597120,0.17087,0.2037143924218246
ACHC,0.902,-0.55869076087639,-0.7056092562963325,0.6889666,0.036813210004510835,0.027713229716225366,2166450944,0.048309997,0.11160510267052148
ACHR,3.062,2.549019562011037,2.757785211927297,4.138719,0.06589739186058664,0.056486323021225665,7004985344,-0.60827,0.8062421071621866
ACHV,1.583,0.026104440550806185,1.1931331763249728,6.0905843,0.05774257674035293,0.049482142802530556,261146400,-1.20108,0.9943730318517371
ACI,0.344,0.07362289083808893,0.01749998214054682,3.5072618,0.018592863513102395,0.01305743300328185,10744455168,0.32044,0.020388160679757905
ACIC,-0.396,0.18680678553602736,27.814564937226255,1.608684,0.026216084278359964,0.06648586033446602,581770112,0.31544,0.14470743934832989
ACIU,1.555,-0.13029311584588155,-0.10252095398849848,3.59354,0.0435941143495378,0.051803117196531724,268602016,-0.50979,0.26310348222783814
ACIW,1.05,0.0101999183054029,1.0974163141720603,3.6749535,0.02246302282011592,0.022779098059966443,5110071296,0.1909,-0.1217642323554847
ACLS,1.752,-0.10940918854545767,0.40660105457561646,2.5014596,0.032202790250939466,0.030992568544456412,2557495296,0.16194001,0.05211834626008314
ACLX,0.307,-0.07665040166717652,3.149328022758305,11.767363,0.032312665665559556,0.03502665860931405,4623054848,-0.42755002,-0.13792338680356597
ACM,1.031,0.22253384520040775,0.8429043883906902,6.9107027,0.015097342163222196,0.014174667573519302,17240508416,0.28683,0.07373289898568536
ACMR,1.418,0.9650131497497787,4.798151370601967,2.445889,0.04636346327907074,0.04970327156678629,2415129856,0.12682,0.24469182538426248
ACN,1.278,-0.3279870602545688,-0.07045866205028284,4.9664106,0.01796661448334522,0.016431636021564295,154501398528,0.25509,0.09146316916252133
ACNB,0.931,0.08308055560157634,0.4051216678829259,1.1770788,0.02088278118559203,0.025161133368732512,464657568,0.07356,-0.009929110853228831
ACNT,0.669,0.31573155526757657,-0.18584068211151683,1.2570949,0.01629553595300385,0.02592609411392788,112041304,-0.112679996,-0.0982577543709238
ACON,1.406,-0.9957647660915976,-0.9999417416329364,0.30657473,0.1485243277933077,0.11916103641415476,4350311,-0.8835,-0.13671621864447708
ACP,0.852,0.004847089118395598,0.48623156365917986,0.9535822,0.009438694808913387,0.010554525170878104,711418752,0.041690003,1.3397657044615447
ACR,1.798,0.24951395368270313,1.173619045704224,0.30890507,0.02040028398102844,0.021932619077273886,143179344,0.047670003,-0.14327092739190522
ACRE,1.354,-0.18020985519994526,-0.3943084270070979,0.49230123,0.026433764106460367,0.02343322459822635,258525136,-0.032980002,-0.23185206272367867
ACRS,0.275,0.8677685282756544,-0.8631132671633936,1.8585527,0.06611055376382183,0.06186476552083875,244830800,-1.01409,0.11611661305438059
ACT,0.533,0.033735964873613966,0.6884069039795007,1.034375,0.013782243630347342,0.013778679558168045,5370679296,0.13474,0.0534786275620619
ACTG,0.61,-0.2693110588990457,-0.09560720839805137,0.6267908,0.02566684495892452,0.023014134657907144,337557472,-0.00611,0.1939072994025681
ACU,0.724,-0.03928810582353848,0.7222031147095267,1.263794,0.02168774187344604,0.02785067611806883,146195216,0.09020001,0.0866333154017484
ACXP,-1.292,-0.8334183652368202,-0.8982865962583642,2.6927836,0.13661800247481526,0.09307716198885455,10348581,-2.85935,-0.4995587695254052
AD,0.18,0.16712966037010135,1.4086312266900398,0.9314239,0.020481728066893384,0.04652656044287862,4303406080,-0.00471,-0.028
ADAG,0.737,-0.3555555634047267,0.8412698652979169,2.164179,0.05503433177345496,0.05941743471396544,82008416,-0.63259,-0.22864148173681653
ADAM,1.392,0.4743313176520876,-0.020559633172185565,0.74991953,0.02122376802113563,0.02097519399204514,631291904,0.03613,0.24535515788517953
ADAP,2.492,-0.9114077683948686,-0.9425196850208926,-0.2705224,0.12424440938924333,0.08427369399567898,19216240,-13.410971,-0.12969187873298044
ADBE,1.49,-0.2885616073274073,0.0935791315153105,12.635241,0.021086142189038346,0.021568256785524768,148222066688,0.52875,0.015144900768998288
ADC,0.55,0.044566546379550154,0.29117045888516024,1.5025296,0.011488941503040239,0.011482487471527782,8662290432,0.03477,0.09152733253794679
ADEA,1.328,0.3967179869576656,0.6570468268301994,4.5644503,0.031562260391340906,0.027660002173537094,1839579776,0.22014,-0.006869846484483825
ADI,1.089,0.08341758720034509,0.7314499513723891,3.469099,0.02459305310074288,0.02104263563831989,118246408192,0.05652,-0.011603792543902201
ADIL,1.363,-0.6635514049928191,-0.9503448256130876,1.3707694,0.08418343961564814,0.09761226419358549,7779576,-1.7126801,0.06488550343547753
ADM,0.685,0.1471535254716334,-0.2549049737658875,1.3248732,0.01771033160529352,0.01787798758824898,29745555456,0.0482,-0.024894290787281947
ADMA,0.463,-0.02944942647357185,4.553113458423032,9.077845,0.035556391839175375,0.03577198145124482,3617641728,0.71234,0.48452223997666943
ADNT,1.778,0.08033239997118713,-0.3217391414918761,1.0650887,0.030434300179777315,0.026644190266718402,1901154688,-0.05804,-0.007746179966044143
ADP,0.825,-0.003562212129127218,0.27384542760842634,18.597721,0.012100373239239166,0.012223316068418871,115025166336,0.76003,-0.018273558892402328
ADPT,2.068,2.6153846315075957,1.3103934027167128,13.928875,0.04997931741383286,0.05026038285371654,2504905984,-0.57598996,-0.18416538855965658
ADSK,1.491,0.0633929021829367,0.4284720570774341,24.17621,0.018389035393313168,0.019577680615503596,65635950592,0.402,0.09291767554479419
ADT,1.059,0.2946526211697851,0.11857706401561208,1.9751694,0.020091971375429854,0.02303014605792366,7175705600,0.17141001,0.005441148116516979
ADTN,1.377,0.47124595869097385,-0.5629911571797097,4.3320794,0.0366521756290161,0.03584914897330315,737280448,-0.15078,-0.3016626526135063
ADTX,1.316,-0.9988990825250608,-0.9999997499999901,0.073498406,0.1055041745406507,0.19224425125503342,1491971,-2.8220599,-0.27892336560768644
ADUS,0.864,-0.07216492683063813,0.12209088815792257,2.1596162,0.019283332647697216,0.021086021982766802,2236479744,0.08538,0.3789517251612122
