Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth,Beta_Rank,Value_PBR_Rank,Volatility_1Y_Rank,Volatility_3Y_Rank,Size_MarketCap_Rank,Investment_AssetGrowth_Rank,Momentum_1Y_Rank,Momentum_3Y_Rank,Profitability_ROE_Rank,Composite_Rank_Score
FT,0.703,0.1572437172032543,0.6221685748644339,0.9921989,0.0073806940804918,0.0075932657792806,204573632,0.17466,0.0614375747510719,1361.5,1344.0,89.0,75.0,1158.0,2865.0,1566.0,1394.0,754.0,10606.5
NIM,0.216,0.054003403422882,0.1795842988761784,0.95199347,0.0060981419816313,0.006562635036444,116500144,0.01511,-0.0501237721888061,317.0,1188.0,32.0,26.0,877.0,1191.0,2104.0,2326.0,2566.0,10627.0
WIW,0.532,0.1100205119640507,0.286598320030254,0.92439574,0.0052339745424576,0.0056706012228486,547598016,0.05027,-0.1251219260348333,901.0,1099.0,11.0,6.0,1813.0,694.0,1789.0,2071.0,2244.0,10628.0
USAC,0.354,0.0928962699526176,0.6632683476605448,-23.232323,0.0200859723777963,0.0175585745796799,2821730816,3.1474,0.0032304622984843,524.5,21.0,1149.0,856.0,2932.0,1932.0,1877.0,1329.0,18.0,10638.5
CIF,0.764,0.0853250172693655,0.385769847664015,0.95382077,0.008249165965475,0.008323001289953,31059946,0.086,-0.0048507595219538,1530.0,1194.0,110.0,99.0,414.0,1803.0,1918.0,1838.0,1744.0,10650.0
IGD,0.555,0.1818564756403229,0.5832745250411999,0.95841455,0.0095845022373326,0.0089230522171549,465324224,0.14099,0.0451044248900583,956.0,1215.0,142.0,124.0,1694.0,2643.0,1437.0,1454.0,1009.0,10674.0
BGY,0.817,0.1262267589948074,0.6805582189170392,0.9306773,0.0115429735534602,0.0099436474188201,529188448,0.07048,-0.100944516576897,1693.5,1122.0,220.0,156.0,1787.0,801.0,1705.0,1294.0,1984.0,10762.5
MGF,0.347,0.0241246651378008,0.2166546399354907,0.97125715,0.0064699317585513,0.0070466945572784,100214840,0.049310002,-0.0359437641779149,509.5,1262.0,38.0,49.0,817.0,1335.0,2257.0,2249.0,2255.0,10771.5
MIN,0.274,0.0641565634884,0.2615418706724428,0.95066625,0.0063475939165332,0.0073974345569539,300427360,0.0757,-0.0139485574619019,396.0,1180.0,36.0,66.0,1397.0,1648.0,2046.0,2126.0,1897.0,10792.0
PHD,0.374,0.1065582172585761,0.6215552649791467,0.99202394,0.0070372973207121,0.0065743337026091,123130584,0.06619,0.0441098298543233,565.0,1341.5,68.0,27.0,906.0,2627.0,1815.0,1395.0,2048.0,10792.5
DGICA,-0.018,0.3877409375026648,0.5443213678084227,1.1670578,0.0166224618178997,0.0150421010048884,683004608,0.15201001,0.030771867395161,167.5,1693.0,672.0,545.0,1951.0,2431.0,904.0,1531.0,916.0,10810.5
PROV,0.382,0.1284472806567471,0.2450105338463057,0.8105619,0.0133865656325509,0.0146532752246925,104180280,0.0484,-0.0208984436409369,587.0,886.0,335.0,499.0,831.0,1531.0,1698.0,2183.0,2261.0,10811.0
VLT,0.759,0.1060919163934088,0.6054633868478356,0.98638266,0.0067576377311788,0.0067512697333438,73427816,0.09879,0.0317971716975732,1513.5,1318.0,55.0,36.0,684.0,2448.0,1817.0,1430.0,1529.5,10831.0
FMN,0.632,-0.0555006452902897,0.2450606233543122,0.9366299,0.0060609355488443,0.0065617497454663,86787584,0.0155,-0.2742566969569224,1158.0,1134.0,30.0,25.0,751.0,291.0,2714.0,2182.0,2562.0,10847.0
CLST,0.183,0.172566351889444,0.0145482063000483,0.600367,0.0105119866139627,0.0123024291862123,54839052,0.02694,0.0212784019606395,284.0,628.0,169.0,283.0,581.0,2260.0,1483.0,2717.0,2482.0,10887.0
BTZ,0.764,0.096729609280683,0.5504464405677958,0.97324884,0.0066355152714642,0.0074666801766183,1032168512,0.097729996,-0.0972600079583401,1530.0,1271.0,46.0,71.0,2253.0,817.0,1851.0,1519.0,1550.0,10908.0
SPE,0.839,0.1924312398236403,0.784212002197352,0.9128289,0.0096405137679341,0.0082094357325464,165083808,0.13085,0.082419309172879,1775.0,1074.0,144.0,95.0,1055.0,3107.0,1403.0,1153.0,1109.0,10915.0
BSAC,0.556,0.4256304804770168,1.2586321351727627,1.1173574,0.0151327651250051,0.0158579387150705,12828470272,0.23985,-0.0336006712027613,959.0,1603.0,518.0,642.0,3770.0,1364.0,854.0,731.0,479.0,10920.0
